startValues,count
50,886
55.8625,2869
61.725,4584
67.5875,5889
73.45,6795
79.3125,7993
85.175,8875
91.0375,7878
96.9,10065
102.7625,10455
108.625,10518
114.4875,10583
120.35,10494
126.2125,10349
132.075,8396
137.9375,9794
143.8,9544
149.6625,9046
155.525,8658
161.3875,8374
167.25,8106
173.1125,6591
178.975,7571
184.8375,7391
190.7,7173
196.5625,7101
202.425,6850
208.2875,6557
214.15,6464
220.0125,5336
225.875,6043
231.7375,6009
237.6,5787
243.4625,5666
249.325,5640
255.1875,5402
261.05,4676
266.9125,5482
272.775,5194
278.6375,5163
284.5,5061
290.3625,4938
296.225,4983
302.0875,4073
307.95,4898
313.8125,4853
319.675,4626
325.5375,4588
331.4,4615
337.2625,4572
343.125,3624
348.9875,4441
354.85,4409
360.7125,4362
366.575,4326
372.4375,4210
378.3,4182
384.1625,4113
390.025,3387
395.8875,4065
401.75,4062
407.6125,4086
413.475,3981
419.3375,4042
425.2,3904
431.0625,3381
436.925,3840
442.7875,3908
448.65,3807
454.5125,3848
460.375,3780
466.2375,3820
472.1,3055
477.9625,3841
483.825,3787
489.6875,3799
495.55,3601
501.4125,3654
507.275,3658
513.1375,3097
519,3709
524.8625,3700
530.725,3596
536.5875,3605
542.45,3654
548.3125,3584
554.175,3611
560.0375,2900
565.9,3541
571.7625,3497
577.625,3506
583.4875,3460
589.35,3467
595.2125,3530
601.075,2830
606.9375,3369
612.8,3402
618.6625,3386
624.525,3535
630.3875,3392
636.25,3396
642.1125,2822
647.975,3311
653.8375,3180
659.7,3319
665.5625,3154
671.425,3183
677.2875,3211
683.15,3253
689.0125,2582
694.875,3240
700.7375,3195
706.6,3143
712.4625,3039
718.325,3087
724.1875,3004
730.05,2596
735.9125,3066
741.775,2975
747.6375,3002
753.5,3008
759.3625,2964
765.225,2915
771.0875,2464
776.95,2991
782.8125,2890
788.675,2785
794.5375,2808
800.4,2878
806.2625,2863
812.125,2368
817.9875,2827
823.85,2725
829.7125,2685
835.575,2709
841.4375,2707
847.3,2687
853.1625,2763
859.025,2178
864.8875,2614
870.75,2561
876.6125,2573
882.475,2614
888.3375,2596
894.2,2598
900.0625,2076
905.925,2508
911.7875,2439
917.65,2505
923.5125,2427
929.375,2486
935.2375,2404
941.1,1990
946.9625,2381
952.825,2370
958.6875,2330
964.55,2341
970.4125,2318
976.275,2269
982.1375,1884
988,2211
993.8625,2261
999.725,2214
1005.5875,2209
1011.45,2096
1017.3125,2134
1023.175,2117
1029.0375,1695
1034.9,2056
1040.7625,1995
1046.625,2006
1052.4875,2082
1058.35,1954
1064.2125,1867
1070.075,1531
1075.9375,1857
1081.8,1851
1087.6625,1886
1093.525,1820
1099.3875,1813
1105.25,1690
1111.1125,1465
1116.975,1723
1122.8375,1620
1128.7,1625
1134.5625,1534
1140.425,1574
1146.2875,1569
1152.15,1567
1158.0125,1233
1163.875,1429
1169.7375,1395
1175.6,1342
1181.4625,1296
1187.325,1384
1193.1875,1284
1199.05,1016
1204.9125,1311
1210.775,1194
1216.6375,1181
1222.5,1128
1228.3625,1194
1234.225,1060
1240.0875,868
1245.95,1045
1251.8125,1058
1257.675,935
1263.5375,950
1269.4,990
1275.2625,945
1281.125,695
1286.9875,869
1292.85,898
1298.7125,838
1304.575,810
1310.4375,798
1316.3,771
1322.1625,729
1328.025,608
1333.8875,754
1339.75,736
1345.6125,700
1351.475,667
1357.3375,685
1363.2,666
1369.0625,555
1374.925,653
1380.7875,617
1386.65,604
1392.5125,576
1398.375,569
1404.2375,539
1410.1,429
1415.9625,504
1421.825,512
1427.6875,475
1433.55,503
1439.4125,483
1445.275,447
1451.1375,363
1457,390
1462.8625,394
1468.725,409
1474.5875,382
1480.45,397
1486.3125,346
1492.175,381
1498.0375,300
1503.9,343
1509.7625,360
1515.625,306
1521.4875,303
1527.35,277
1533.2125,267
1539.075,225
1544.9375,278
1550.8,287
1556.6625,261
1562.525,256
1568.3875,237
1574.25,217
1580.1125,180
1585.975,247
1591.8375,217
1597.7,206
1603.5625,204
1609.425,215
1615.2875,185
1621.15,187
1627.0125,143
1632.875,188
1638.7375,164
1644.6,189
1650.4625,168
1656.325,169
1662.1875,159
1668.05,133
1673.9125,136
1679.775,142
1685.6375,124
1691.5,131
1697.3625,120
1703.225,123
1709.0875,95
1714.95,124
1720.8125,102
1726.675,126
1732.5375,120
1738.4,113
1744.2625,121
1750.125,98
1755.9875,91
1761.85,102
1767.7125,82
1773.575,83
1779.4375,92
1785.3,81
1791.1625,82
1797.025,76
1802.8875,86
1808.75,79
1814.6125,80
1820.475,76
1826.3375,76
1832.2,87
1838.0625,74
1843.925,57
1849.7875,71
1855.65,51
1861.5125,81
1867.375,58
1873.2375,57
1879.1,57
1884.9625,68
1890.825,52
1896.6875,60
1902.55,56
1908.4125,58
1914.275,53
1920.1375,38
1926,57
1931.8625,50
1937.725,55
1943.5875,52
1949.45,51
1955.3125,47
1961.175,58
1967.0375,57
1972.9,49
1978.7625,45
1984.625,47
1990.4875,42
1996.35,40
2002.2125,43
2008.075,38
2013.9375,53
2019.8,38
2025.6625,45
2031.525,50
2037.3875,39
2043.25,53
2049.1125,35
2054.975,41
2060.8375,44
2066.7,42
2072.5625,40
2078.425,49
2084.2875,43
2090.15,60
2096.0125,46
2101.875,52
2107.7375,41
2113.6,62
2119.4625,48
2125.325,49
2131.1875,55
2137.05,42
2142.9125,42
2148.775,45
2154.6375,55
2160.5,41
2166.3625,65
2172.225,43
2178.0875,43
2183.95,44
2189.8125,61
2195.675,51
2201.5375,48
2207.4,44
2213.2625,55
2219.125,40
2224.9875,60
2230.85,57
2236.7125,40
2242.575,47
2248.4375,51
2254.3,44
2260.1625,50
2266.025,36
2271.8875,39
2277.75,48
2283.6125,38
2289.475,46
2295.3375,37
2301.2,36
2307.0625,33
2312.925,37
2318.7875,38
2324.65,31
2330.5125,30
2336.375,36
2342.2375,42
2348.1,28
2353.9625,27
2359.825,26
2365.6875,32
2371.55,32
2377.4125,34
2383.275,15
2389.1375,25
2395,26
2400.8625,29
2406.725,34
2412.5875,37
2418.45,30
2424.3125,26
2430.175,26
2436.0375,21
2441.9,19
2447.7625,21
2453.625,23
2459.4875,22
2465.35,33
2471.2125,22
2477.075,18
2482.9375,20
2488.8,21
2494.6625,24
2500.525,24
2506.3875,24
2512.25,20
2518.1125,15
2523.975,18
2529.8375,14
2535.7,25
2541.5625,14
2547.425,24
2553.2875,31
2559.15,20
2565.0125,15
2570.875,13
2576.7375,17
2582.6,15
2588.4625,20
2594.325,17
2600.1875,13
2606.05,16
2611.9125,20
2617.775,16
2623.6375,22
2629.5,23
2635.3625,22
2641.225,20
2647.0875,14
2652.95,18
2658.8125,19
2664.675,13
2670.5375,17
2676.4,16
2682.2625,11
2688.125,13
2693.9875,20
2699.85,23
2705.7125,25
2711.575,16
2717.4375,14
2723.3,13
2729.1625,10
2735.025,14
2740.8875,19
2746.75,9
2752.6125,15
2758.475,14
2764.3375,13
2770.2,23
2776.0625,10
2781.925,12
2787.7875,17
2793.65,12
2799.5125,14
2805.375,11
2811.2375,13
2817.1,11
2822.9625,16
2828.825,17
2834.6875,15
2840.55,12
2846.4125,22
2852.275,17
2858.1375,14
2864,8
2869.8625,8
2875.725,15
2881.5875,21
2887.45,17
2893.3125,17
2899.175,13
2905.0375,16
2910.9,18
2916.7625,17
2922.625,14
2928.4875,12
2934.35,25
2940.2125,12
2946.075,13
2951.9375,19
2957.8,9
2963.6625,11
2969.525,17
2975.3875,12
2981.25,14
2987.1125,8
2992.975,23
2998.8375,4
3004.7,8
3010.5625,6
3016.425,16
3022.2875,17
3028.15,16
3034.0125,9
3039.875,7
3045.7375,16
3051.6,7
3057.4625,12
3063.325,17
3069.1875,14
3075.05,6
3080.9125,11
3086.775,12
3092.6375,15
3098.5,11
3104.3625,7
3110.225,14
3116.0875,11
3121.95,11
3127.8125,9
3133.675,6
3139.5375,10
3145.4,7
3151.2625,12
3157.125,10
3162.9875,8
3168.85,14
3174.7125,11
3180.575,12
3186.4375,9
3192.3,11
3198.1625,5
3204.025,7
3209.8875,12
3215.75,11
3221.6125,8
3227.475,12
3233.3375,15
3239.2,9
3245.0625,11
3250.925,6
3256.7875,10
3262.65,7
3268.5125,6
3274.375,13
3280.2375,14
3286.1,7
3291.9625,7
3297.825,7
3303.6875,6
3309.55,7
3315.4125,4
3321.275,7
3327.1375,6
3333,6
3338.8625,10
3344.725,12
3350.5875,11
3356.45,9
3362.3125,6
3368.175,11
3374.0375,7
3379.9,9
3385.7625,12
3391.625,10
3397.4875,9
3403.35,9
3409.2125,11
3415.075,5
3420.9375,9
3426.8,8
3432.6625,6
3438.525,8
3444.3875,13
3450.25,8
3456.1125,4
3461.975,4
3467.8375,8
3473.7,3
3479.5625,3
3485.425,7
3491.2875,3
3497.15,7
3503.0125,5
3508.875,7
3514.7375,3
3520.6,6
3526.4625,4
3532.325,5
3538.1875,8
3544.05,2
3549.9125,11
3555.775,9
3561.6375,3
3567.5,4
3573.3625,5
3579.225,10
3585.0875,5
3590.95,6
3596.8125,9
3602.675,5
3608.5375,6
3614.4,10
3620.2625,3
3626.125,3
3631.9875,8
3637.85,5
3643.7125,3
3649.575,3
3655.4375,4
3661.3,7
3667.1625,4
3673.025,3
3678.8875,8
3684.75,5
3690.6125,4
3696.475,6
3702.3375,10
3708.2,5
3714.0625,3
3719.925,4
3725.7875,5
3731.65,3
3737.5125,5
3743.375,2
3749.2375,7
3755.1,7
3760.9625,6
3766.825,4
3772.6875,2
3778.55,7
3784.4125,3
3790.275,5
3796.1375,1
3802,9
3807.8625,9
3813.725,9
3819.5875,5
3825.45,7
3831.3125,4
3837.175,3
3843.0375,5
3848.9,9
3854.7625,3
3860.625,7
3866.4875,7
3872.35,8
3878.2125,9
3884.075,8
3889.9375,3
3895.8,2
3901.6625,3
3907.525,5
3913.3875,8
3919.25,6
3925.1125,7
3930.975,4
3936.8375,5
3942.7,4
3948.5625,9
3954.425,2
3960.2875,1
3966.15,6
3972.0125,2
3977.875,10
3983.7375,7
3989.6,2
3995.4625,10
4001.325,6
4007.1875,5
4013.05,3
4018.9125,2
4024.775,6
4030.6375,3
4036.5,4
4042.3625,1
4048.225,10
4054.0875,2
4059.95,2
4065.8125,10
4071.675,4
4077.5375,6
4083.4,4
4089.2625,3
4095.125,2
4100.9875,2
4106.85,2
4112.7125,2
4118.575,4
4124.4375,2
4130.3,2
4136.1625,3
4142.025,2
4147.8875,4
4153.75,6
4159.6125,5
4165.475,4
4171.3375,5
4177.2,3
4183.0625,6
4188.925,3
4194.7875,5
4200.65,3
4206.5125,6
4212.375,5
4218.2375,7
4224.1,2
4229.9625,4
4235.825,5
4241.6875,3
4247.55,1
4253.4125,1
4259.275,6
4265.1375,1
4271,4
4276.8625,3
4282.725,3
4288.5875,2
4294.45,2
4300.3125,1
4306.175,2
4312.0375,1
4317.9,5
4323.7625,2
4329.625,1
4335.4875,3
4341.35,3
4347.2125,3
4353.075,0
4358.9375,3
4364.8,0
4370.6625,2
4376.525,3
4382.3875,5
4388.25,2
4394.1125,4
4399.975,5
4405.8375,3
4411.7,3
4417.5625,4
4423.425,3
4429.2875,0
4435.15,1
4441.0125,1
4446.875,4
4452.7375,1
4458.6,0
4464.4625,2
4470.325,1
4476.1875,7
4482.05,0
4487.9125,4
4493.775,3
4499.6375,3
4505.5,0
4511.3625,7
4517.225,1
4523.0875,1
4528.95,1
4534.8125,2
4540.675,3
4546.5375,0
4552.4,1
4558.2625,1
4564.125,2
4569.9875,0
4575.85,2
4581.7125,0
4587.575,0
4593.4375,2
4599.3,1
4605.1625,3
4611.025,0
4616.8875,3
4622.75,3
4628.6125,1
4634.475,2
4640.3375,1
4646.2,0
4652.0625,1
4657.925,1
4663.7875,2
4669.65,2
4675.5125,3
4681.375,1
4687.2375,1
4693.1,3
4698.9625,1
4704.825,0
4710.6875,2
4716.55,2
4722.4125,1
4728.275,1
4734.1375,1
4740,0
4745.8625,3
4751.725,1
4757.5875,3
4763.45,4
4769.3125,4
4775.175,3
4781.0375,0
4786.9,2
4792.7625,0
4798.625,4
4804.4875,2
4810.35,3
4816.2125,3
4822.075,0
4827.9375,1
4833.8,1
4839.6625,1
4845.525,2
4851.3875,2
4857.25,0
4863.1125,0
4868.975,3
4874.8375,0
4880.7,1
4886.5625,2
4892.425,1
4898.2875,3
4904.15,0
4910.0125,1
4915.875,0
4921.7375,1
4927.6,1
4933.4625,0
4939.325,2
4945.1875,2
4951.05,0
4956.9125,0
4962.775,5
4968.6375,1
4974.5,0
4980.3625,0
4986.225,1
4992.0875,1
4997.95,0
5003.8125,1
5009.675,1
5015.5375,0
5021.4,3
5027.2625,2
5033.125,1
5038.9875,0
5044.85,2
5050.7125,1
5056.575,2
5062.4375,1
5068.3,1
5074.1625,1
5080.025,0
5085.8875,1
5091.75,0
5097.6125,0
5103.475,2
5109.3375,2
5115.2,2
5121.0625,0
5126.925,1
5132.7875,2
5138.65,2
5144.5125,0
5150.375,0
5156.2375,1
5162.1,1
5167.9625,0
5173.825,0
5179.6875,1
5185.55,1
5191.4125,0
5197.275,3
5203.1375,1
5209,1
5214.8625,1
5220.725,0
5226.5875,2
5232.45,0
5238.3125,0
5244.175,1
5250.0375,1
5255.9,2
5261.7625,2
5267.625,2
5273.4875,0
5279.35,1
5285.2125,2
5291.075,2
5296.9375,2
5302.8,1
5308.6625,0
5314.525,0
5320.3875,1
5326.25,0
5332.1125,2
5337.975,1
5343.8375,0
5349.7,0
5355.5625,0
5361.425,0
5367.2875,0
5373.15,0
5379.0125,1
5384.875,0
5390.7375,0
5396.6,0
5402.4625,0
5408.325,1
5414.1875,2
5420.05,0
5425.9125,0
5431.775,0
5437.6375,0
5443.5,0
5449.3625,0
5455.225,0
5461.0875,2
5466.95,1
5472.8125,2
5478.675,0
5484.5375,0
5490.4,0
5496.2625,0
5502.125,1
5507.9875,1
5513.85,1
5519.7125,0
5525.575,0
5531.4375,1
5537.3,0
5543.1625,0
5549.025,0
5554.8875,1
5560.75,1
5566.6125,0
5572.475,0
5578.3375,0
5584.2,0
5590.0625,0
5595.925,1
5601.7875,1
5607.65,1
5613.5125,0
5619.375,0
5625.2375,0
5631.1,0
5636.9625,0
5642.825,0
5648.6875,0
5654.55,1
5660.4125,0
5666.275,0
5672.1375,0
5678,0
5683.8625,1
5689.725,0
5695.5875,0
5701.45,0
5707.3125,0
5713.175,0
5719.0375,0
5724.9,1
5730.7625,0
5736.625,0
5742.4875,1
5748.35,0
5754.2125,0
5760.075,0
5765.9375,0
5771.8,1
5777.6625,0
5783.525,0
5789.3875,1
5795.25,0
5801.1125,1
5806.975,0
5812.8375,0
5818.7,0
5824.5625,1
5830.425,0
5836.2875,0
5842.15,0
5848.0125,1
5853.875,0
5859.7375,0
5865.6,0
5871.4625,0
5877.325,0
5883.1875,1
5889.05,0
5894.9125,0
5900.775,1
5906.6375,0
