pulse_index,pulse_amp
0,0
1,0
2,581
3,241
4,57
5,18
6,15
7,5
8,3
9,9
10,2
11,1
12,1
13,0
14,159
15,526
16,182
17,56
18,27
19,14
20,15
21,3
22,3
23,3
24,0
25,0
26,282
27,128
28,64
29,21
30,8
31,2
32,1
33,0
34,2
35,1
36,1
37,1
38,271
39,114
40,46
41,14
42,5
43,2
44,1
45,1
46,1
47,2
48,0
49,2
50,132
51,51
52,25
53,4
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,120
63,58
64,24
65,7
66,5
67,1
68,0
69,0
70,1
71,0
72,1
73,1
74,345
75,159
76,47
77,10
78,5
79,5
80,4
81,2
82,1
83,2
84,1
85,1
86,221
87,86
88,21
89,6
90,3
91,5
92,2
93,1
94,1
95,1
96,1
97,0
98,232
99,90
100,41
101,26
102,6
103,4
104,2
105,1
106,2
107,2
108,1
109,0
110,65
111,522
112,186
113,48
114,17
115,7
116,3
117,3
118,2
119,2
120,0
121,1
122,174
123,48
124,10
125,5
126,3
127,2
128,0
129,1
130,0
131,0
132,0
133,0
134,197
135,562
136,228
137,83
138,53
139,18
140,5
141,4
142,2
143,2
144,0
145,0
146,74
147,8
148,6
149,0
150,3
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,816
159,378
160,110
161,39
162,9
163,15
164,4
165,4
166,2
167,2
168,0
169,48
170,84
171,33
172,15
173,3
174,4
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,357
183,369
184,101
185,42
186,16
187,14
188,8
189,3
190,2
191,2
192,0
193,2
194,177
195,60
196,16
197,3
198,2
199,1
200,0
201,1
202,1
203,1
204,1
205,0
206,483
207,227
208,102
209,22
210,7
211,5
212,6
213,2
214,1
215,1
216,1
217,1
218,129
219,93
220,32
221,8
222,7
223,3
224,7
225,1
226,1
227,2
228,0
229,0
230,166
231,59
232,17
233,3
234,7
235,1
236,1
237,0
238,1
239,0
240,0
241,0
242,154
243,372
244,195
245,68
246,25
247,20
248,4
249,3
250,2
251,7
252,0
253,0
254,564
255,166
256,93
257,22
258,6
259,6
260,2
261,2
262,2
263,2
264,1
265,1
266,231
267,144
268,28
269,14
270,6
271,3
272,2
273,1
274,2
275,1
276,0
277,1
278,250
279,51
280,25
281,8
282,2
283,1
284,1
285,0
286,1
287,5
288,0
289,1
290,521
291,397
292,104
293,46
294,19
295,9
296,6
297,3
298,3
299,2
300,0
301,0
302,208
303,157
304,36
305,53
306,5
307,6
308,2
309,1
310,2
311,1
312,1
313,1
314,130
315,26
316,9
317,4
318,1
319,2
320,2
321,1
322,1
323,2
324,0
325,0
326,230
327,147
328,70
329,21
330,26
331,4
332,1
333,2
334,1
335,0
336,0
337,0
338,63
339,20
340,4
341,7
342,1
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,820
351,346
352,86
353,37
354,13
355,13
356,4
357,7
358,2
359,2
360,0
361,0
362,53
363,18
364,6
365,9
366,1
367,0
368,1
369,1
370,0
371,0
372,0
373,0
374,288
375,280
376,110
377,42
378,7
379,3
380,1
381,1
382,0
383,0
384,0
385,0
386,50
387,265
388,70
389,30
390,8
391,5
392,8
393,0
394,0
395,1
396,0
397,1
398,308
399,202
400,58
401,13
402,24
403,5
404,2
405,2
406,2
407,2
408,1
409,0
410,636
411,229
412,64
413,30
414,13
415,8
416,4
417,3
418,2
419,3
420,1
421,16
422,102
423,47
424,14
425,7
426,3
427,1
428,2
429,1
430,1
431,2
432,0
433,0
434,352
435,560
436,189
437,70
438,21
439,6
440,4
441,12
442,3
443,2
444,0
445,0
446,948
447,405
448,110
449,46
450,38
451,8
452,5
453,3
454,3
455,4
456,0
457,0
458,342
459,173
460,64
461,19
462,7
463,6
464,2
465,2
466,1
467,1
468,0
469,0
470,78
471,47
472,12
473,7
474,8
475,5
476,0
477,1
478,1
479,0
480,0
481,0
482,463
483,175
484,70
485,33
486,5
487,5
488,2
489,1
490,1
491,1
492,1
493,0
494,102
495,65
496,17
497,6
498,3
499,2
500,2
501,1
502,1
503,1
504,0
505,0
506,726
507,862
508,154
509,59
510,40
511,15
512,7
513,4
514,3
515,3
516,1
517,1
518,95
519,50
520,10
521,8
522,2
523,2
524,1
525,1
526,1
527,1
528,0
529,0
530,170
